minute_before_kickoff,arrivals_count_mean,arrivals_count_sd,arrival_rate_pct_mean,arrival_rate_pct_sd,total_queue_length_mean,total_queue_length_sd,queue_pct_of_pre_kickoff_max
-51,105.466667,9.590704,0.703111,0.063938,1487.366667,46.953743,52.872869
-50,110.233333,10.108662,0.734889,0.067391,1524.900000,50.438320,54.207102
-49,106.766667,8.261599,0.711778,0.055077,1557.400000,53.323735,55.362412
-48,106.766667,8.467721,0.711778,0.056451,1590.266667,54.193099,56.530755
-47,106.200000,8.048988,0.708000,0.053660,1624.666667,51.813547,57.753605
-46,110.366667,9.238164,0.735778,0.061588,1657.400000,53.601081,58.917209
-45,109.600000,9.481743,0.730667,0.063212,1686.533333,53.578002,59.952840
-44,107.300000,8.971795,0.715333,0.059812,1721.533333,54.644767,61.197019
-43,108.833333,8.694363,0.725556,0.057962,1757.200000,52.048651,62.464896
-42,106.200000,8.095976,0.708000,0.053973,1788.400000,50.856526,63.573993
-41,110.033333,12.229087,0.733556,0.081527,1827.133333,51.370684,64.950885
-40,109.466667,10.598417,0.729778,0.070656,1860.333333,52.389347,66.131077
-39,108.366667,11.065583,0.722444,0.073771,1896.166667,53.943830,67.404880
-38,109.166667,11.188305,0.727778,0.074589,1927.600000,53.159227,68.522271
-37,105.800000,7.401771,0.705333,0.049345,1964.633333,50.617895,69.838731
-36,108.466667,8.270151,0.723111,0.055134,1996.966667,50.436360,70.988115
-35,109.633333,9.226959,0.730889,0.061513,2031.566667,54.510159,72.218075
-34,108.066667,6.715568,0.720444,0.044770,2065.433333,56.931104,73.421966
-33,106.000000,7.413873,0.706667,0.049426,2099.233333,56.917777,74.623488
-32,110.266667,8.685832,0.735111,0.057906,2132.100000,58.390097,75.791831
-31,106.600000,8.194195,0.710667,0.054628,2166.800000,55.472516,77.025346
-30,107.666667,8.647636,0.717778,0.057651,2199.533333,57.360165,78.188949
-29,107.633333,7.845417,0.717556,0.052303,2235.033333,53.483148,79.450902
-28,108.666667,9.635900,0.724444,0.064239,2270.666667,49.872481,80.717595
-27,106.666667,11.262796,0.711111,0.075085,2304.300000,50.748297,81.913192
-26,107.300000,7.661593,0.715333,0.051077,2336.266667,53.751621,83.049542
-25,106.833333,8.325629,0.712222,0.055504,2369.900000,52.729204,84.245139
-24,110.200000,9.686108,0.734667,0.064574,2403.000000,51.661364,85.421777
-23,109.166667,7.446746,0.727778,0.049645,2436.533333,50.500074,86.613819
-22,108.466667,10.361511,0.723111,0.069077,2473.100000,49.475421,87.913690
-21,107.333333,7.813928,0.715556,0.052093,2512.166667,47.946870,89.302430
-20,106.966667,9.532099,0.713111,0.063547,2546.333333,46.264855,90.516986
-19,107.966667,7.958874,0.719778,0.053059,2582.066667,43.386740,91.787234
-18,108.100000,7.269919,0.720667,0.048466,2616.966667,39.149125,93.027858
-17,109.233333,9.130031,0.728222,0.060867,2652.033333,38.748066,94.274407
-16,110.733333,10.282001,0.738222,0.068547,2685.533333,34.851145,95.465264
-15,106.366667,10.659247,0.709111,0.071062,2718.866667,34.251336,96.650196
-14,106.566667,8.011558,0.710444,0.053410,2751.200000,34.182472,97.799581
-13,104.966667,10.794262,0.699778,0.071962,2786.933333,34.324952,99.069828
-12,108.733333,8.382796,0.724889,0.055885,2809.700000,37.932017,99.879137
-11,110.133333,8.920079,0.734222,0.059467,2813.100000,38.165113,100.000000
-10,110.066667,11.057634,0.733778,0.073718,2798.366667,38.766750,99.476260
-9,107.500000,9.023915,0.716667,0.060159,2765.733333,40.541110,98.316211
-8,107.833333,9.741781,0.718889,0.064945,2720.733333,42.221038,96.716552
-7,106.066667,9.965227,0.707111,0.066435,2666.700000,40.958474,94.795777
-6,107.800000,8.778500,0.718667,0.058523,2603.333333,40.408546,92.543220
-5,108.500000,11.116158,0.723333,0.074108,2533.133333,38.473218,90.047753
-4,107.266667,8.768806,0.715111,0.058459,2455.100000,40.325700,87.273826
-3,108.166667,11.070568,0.721111,0.073804,2374.100000,39.149889,84.394440
-2,109.700000,10.898118,0.731333,0.072654,2287.866667,40.136606,81.329020
-1,107.500000,8.245166,0.716667,0.054968,2197.900000,40.887862,78.130888
0,108.500000,11.563170,0.723333,0.077088,2103.900000,41.391612,74.789378
1,108.300000,10.488582,0.722000,0.069924,2009.000000,40.550522,71.415876
